code_interne;type;ICDCode;category;source
tumorofbone;diagnosis;C40;Orthopédie;diagnosis
tumorofliver;diagnosis;C22;Hépatologie;diagnosis
tumoroflung;diagnosis;C34;Pneumologie;diagnosis
tumorofovary;diagnosis;C56;Gynécologie;diagnosis
tumorofpancreas;diagnosis;C25;Gastroentérologie;diagnosis
tumorofstomach;diagnosis;C16;Gastroentérologie;diagnosis
tumorsoftissue;diagnosis;C49;Oncologie;diagnosis
turnersyndrome;diagnosis;Q96;Génétique;diagnosis
type1diabetes;diagnosis;E10;Endocrinologie;diagnosis
type2diabetes;diagnosis;E11;Endocrinologie;diagnosis
ulcerativecolitis;diagnosis;K51;Gastroentérologie;diagnosis
ulceroflowerlimb;diagnosis;L97;Dermatologie;diagnosis
umbilicalhernia;diagnosis;K42;Chirurgie;diagnosis
undescendedtestis;diagnosis;Q53;Urologie;diagnosis
ureteralstone;diagnosis;N20;Urologie;diagnosis
urethralstricture;diagnosis;N35;Urologie;diagnosis
urinarytractinfection;diagnosis;N39;Urologie;diagnosis
urticaria;diagnosis;L50;Dermatologie;diagnosis
uterinebleeding;diagnosis;N92;Gynécologie;diagnosis
uterinefibroid;diagnosis;D25;Gynécologie;diagnosis
uterineprolapse;diagnosis;N81;Gynécologie;diagnosis
uveitis;diagnosis;H20;Ophtalmologie;diagnosis
varicella;diagnosis;B01;Infectiologie;diagnosis
varicocele;diagnosis;I86;Urologie;diagnosis
varicoseveins;diagnosis;I83;Chirurgie vasculaire;diagnosis
vasculitis;diagnosis;I77;Rhumatologie;diagnosis
vasopressininduceddiabetesinsipidus;diagnosis;E23;Endocrinologie;diagnosis
ventricularseptaldefect;diagnosis;Q21;Cardiologie;diagnosis
ventriculomegaly;diagnosis;Q04;Neurologie;diagnosis
vertebralfracture;diagnosis;S22;Orthopédie;diagnosis
vestibulardisorder;diagnosis;H81;ORL;diagnosis
viralencephalitis;diagnosis;A86;Neurologie;diagnosis
viralhepatitis;diagnosis;B15;Hépatologie;diagnosis
viralmeningitis;diagnosis;A87;Neurologie;diagnosis
viralpneumonia;diagnosis;J12;Pneumologie;diagnosis
vitaminAdeficiency;diagnosis;E50;Nutrition;diagnosis
vitaminB12deficiency;diagnosis;E53;Nutrition;diagnosis
vitaminCdeficiency;diagnosis;E54;Nutrition;diagnosis
vitaminDdeficiency;diagnosis;E55;Nutrition;diagnosis
vitiligo;diagnosis;L80;Dermatologie;diagnosis
vonwillebranddisease;diagnosis;D68;Hématologie;diagnosis
vulvovaginitisbacterial;diagnosis;N76;Gynécologie;diagnosis
vulvovaginalcandidiasis;diagnosis;B37;Gynécologie;diagnosis
warts;diagnosis;B07;Dermatologie;diagnosis
warnersyndrome;diagnosis;E34;Génétique;diagnosis
wegenergranulomatosis;diagnosis;M31;Rhumatologie;diagnosis
weissyndrome;diagnosis;Q87;Génétique;diagnosis
werdnig-hoffmannsyndrome;diagnosis;G12;Neurologie;diagnosis
westsyndrome;diagnosis;G40;Neurologie;diagnosis
whipplesdisease;diagnosis;K90;Infectiologie;diagnosis
whitecoatsyndrome;diagnosis;R45;Psychiatrie;diagnosis
whitephlegmandrainage;diagnosis;J39;ORL;diagnosis
whoopingcough;diagnosis;A37;Infectiologie;diagnosis
wilms'tumor;diagnosis;C64;Oncologie;diagnosis
wilsonsdisease;diagnosis;E83;Endocrinologie;diagnosis
wolframsyndrome;diagnosis;E13;Génétique;diagnosis
wryneck;diagnosis;M43;Orthopédie;diagnosis
xeroderma;diagnosis;L85;Dermatologie;diagnosis
yaws;diagnosis;A66;Infectiologie;diagnosis
yellowfever;diagnosis;A95;Infectiologie;diagnosis
zollingerellisonsyndrome;diagnosis;E16;Gastroentérologie;diagnosis
kidnyrnlca;diagnosis;C64;Néphrologie;diagnosis
nervcongan;diagnosis;Q04;Neurologie;diagnosis
peripathero;diagnosis;I73;Angiologie;diagnosis
retinaldx;diagnosis;H35;Ophtalmologie;diagnosis
septicemiaexceptinlabor;diagnosis;A41;Infectiologie;diagnosis
spontabortn;diagnosis;O03;Gynécologie;diagnosis
precereoccl;diagnosis;I66;Neurologie;diagnosis
immunitydx;diagnosis;D84;Immunologie;diagnosis
hyperlipidem;diagnosis;E78;Endocrinologie;diagnosis
substancerelateddisorders;diagnosis;F19;Addictologie;diagnosis
malgenitca;diagnosis;C60;Urologie;diagnosis
pneumonia;diagnosis;J18;Pneumologie;diagnosis
intracrninj;diagnosis;S06;Neurologie;diagnosis
ulcerskin;diagnosis;L89;Dermatologie;diagnosis
guconganom;diagnosis;Q64;Urologie;diagnosis
intestinfct;diagnosis;A09;Gastroentérologie;diagnosis
infectarth;diagnosis;M00;Rhumatologie;diagnosis
sexualinfxs;diagnosis;A54;Infectiologie;diagnosis
urinstone;diagnosis;N20;Urologie;diagnosis
infmalegen;diagnosis;N41;Urologie;diagnosis
skininfectn;diagnosis;L08;Dermatologie;diagnosis
htncomplicn;diagnosis;I11;Cardiologie;diagnosis
neoplsmunsp;diagnosis;C80;Oncologie;diagnosis
sicklecell;diagnosis;D57;Hématologie;diagnosis
rheumarth;diagnosis;M06;Rhumatologie;diagnosis
pancreasdx;diagnosis;K86;Gastroentérologie;diagnosis
lowbirthwt;diagnosis;P07;Pédiatrie;diagnosis
htninpreg;diagnosis;O13;Gynécologie;diagnosis
mycoses;diagnosis;B35;Dermatologie;diagnosis
hemorrpreg;diagnosis;O46;Gynécologie;diagnosis
malposition;diagnosis;O32;Gynécologie;diagnosis
spincorinj;diagnosis;S14;Neurologie;diagnosis
prostatecan;diagnosis;C61;Urologie;diagnosis
thyroidcncr;diagnosis;C73;Endocrinologie;diagnosis
testiscancr;diagnosis;C62;Urologie;diagnosis
multmyeloma;diagnosis;C90;Hématologie;diagnosis
ms;diagnosis;G35;Neurologie;diagnosis
pulmhartdx;diagnosis;I27;Cardiologie;diagnosis
mooddisorders;diagnosis;F32;Psychiatrie;diagnosis
viralinfect;diagnosis;B34;Infectiologie;diagnosis
nutritdefic;diagnosis;E46;Nutrition;diagnosis
menstrualdx;diagnosis;N92;Gynécologie;diagnosis
otherscreen;diagnosis;Z13;Médecine générale;diagnosis
retinaldx;diagnosis;H35;Ophtalmologie;diagnosis
ovarycancer;diagnosis;C56;Gynécologie;diagnosis
uteruscancr;diagnosis;C55;Gynécologie;diagnosis
longpregncy;diagnosis;O48;Gynécologie;diagnosis
othcnsinfx;diagnosis;G03;Neurologie;diagnosis
nonhodglym;diagnosis;C85;Hématologie;diagnosis
teethdx;diagnosis;K08;Odontologie;diagnosis
otpregcomp;diagnosis;O26;Gynécologie;diagnosis
otbnignneo;diagnosis;D36;Oncologie;diagnosis
othmalegen;diagnosis;N50;Urologie;diagnosis
otprimryca;diagnosis;C76;Oncologie;diagnosis
otaftercare;diagnosis;Z48;Médecine générale;diagnosis
otinflskin;diagnosis;H60;ORL;diagnosis
otconganom;diagnosis;Q89;Médecine générale;diagnosis
othnervdx;diagnosis;G98;Neurologie;diagnosis
othskindx;diagnosis;L98;Dermatologie;diagnosis
othinfectns;diagnosis;B99;Infectiologie;diagnosis
othergudx;diagnosis;K92;Gastroentérologie;diagnosis
otherpregnancyanddeliveryincludingnormal;diagnosis;O80;Gynécologie;diagnosis
othercvd;diagnosis;I79;Cardiologie;diagnosis
otherct_count;diagnosis;Z01;Imagerie médicale;diagnosis
otherus_count;diagnosis;Z01;Imagerie médicale;diagnosis
otherxr_count;diagnosis;Z01;Imagerie médicale;diagnosis
othergudx;diagnosis;K92;Gastroentérologie;diagnosis
otherpregnancyanddeliveryincludingnormal;diagnosis;O80;Gynécologie;diagnosis
nrbc_min;diagnosis;;domaine_clinique;diagnosis
meds_antidotes;diagnosis;;domaine_clinique;diagnosis
glucose_last;diagnosis;;domaine_clinique;diagnosis
othmalegen;diagnosis;;domaine_clinique;diagnosis
sodium_max;diagnosis;;domaine_clinique;diagnosis
meds_herbals;diagnosis;;domaine_clinique;diagnosis
pco2_poc_max;diagnosis;;domaine_clinique;diagnosis
nauseavomit;diagnosis;;domaine_clinique;diagnosis
meds_pre_natalvitamins;diagnosis;;domaine_clinique;diagnosis
cc_motorvehiclecrash;diagnosis;;domaine_clinique;diagnosis
cc_withdrawal_alcohol;diagnosis;;domaine_clinique;diagnosis
co2_max;diagnosis;;domaine_clinique;diagnosis
aspartateaminotransferase_ast_max;diagnosis;;domaine_clinique;diagnosis
d_dimer_median;diagnosis;;domaine_clinique;diagnosis
meds_biologicals;diagnosis;;domaine_clinique;diagnosis
glucoseua_count;diagnosis;;domaine_clinique;diagnosis
bloodua_last;diagnosis;;domaine_clinique;diagnosis
mch_max;diagnosis;;domaine_clinique;diagnosis
calculatedco2_poc_max;diagnosis;;domaine_clinique;diagnosis
mcv_max;diagnosis;;domaine_clinique;diagnosis
cc_pain;diagnosis;;domaine_clinique;diagnosis
tia;diagnosis;G45.9;domaine_clinique;diagnosis
htn;diagnosis;I10;domaine_clinique;diagnosis
meds_elect_caloric_h2o;diagnosis;;domaine_clinique;diagnosis
cc_cyst;diagnosis;;domaine_clinique;diagnosis
cc_irregularheartbeat;diagnosis;;domaine_clinique;diagnosis
cc_strokealert;diagnosis;;domaine_clinique;diagnosis
ptt_median;diagnosis;;domaine_clinique;diagnosis
pulse_median;diagnosis;;domaine_clinique;diagnosis
poccreatinine_median;diagnosis;;domaine_clinique;diagnosis
nitriteua_count;diagnosis;;domaine_clinique;diagnosis
bilirubintotal_min;diagnosis;;domaine_clinique;diagnosis
calcium_last;diagnosis;;domaine_clinique;diagnosis
kidnyrnlca;diagnosis;C64.9;domaine_clinique;diagnosis
ph_venous_poc_median;diagnosis;;domaine_clinique;diagnosis
meds_eentpreps;diagnosis;;domaine_clinique;diagnosis
nervcongan;diagnosis;;domaine_clinique;diagnosis
cc_multiplefalls;diagnosis;;domaine_clinique;diagnosis
cc_ribinjury;diagnosis;;domaine_clinique;diagnosis
anc_absneutrophilcount_max;diagnosis;;domaine_clinique;diagnosis
ethnicity;diagnosis;;domaine_clinique;diagnosis
benzodiazepinesscreen_urine_noconf_last;diagnosis;;domaine_clinique;diagnosis
inr_last;diagnosis;;domaine_clinique;diagnosis
b_typenatriureticpeptide_pro_probnp_max;diagnosis;;domaine_clinique;diagnosis
pocglucose_max;diagnosis;;domaine_clinique;diagnosis
resp_min;diagnosis;;domaine_clinique;diagnosis
suicideandintentionalselfinflictedin;diagnosis;X60-X84;domaine_clinique;diagnosis
alkphos_min;diagnosis;;domaine_clinique;diagnosis
hemoglobin_min;diagnosis;;domaine_clinique;diagnosis
inr_median;diagnosis;;domaine_clinique;diagnosis
cc_medicationproblem;diagnosis;;domaine_clinique;diagnosis
prothrombintime_last;diagnosis;;domaine_clinique;diagnosis
aspartateaminotransferase_ast_min;diagnosis;;domaine_clinique;diagnosis
substancerelateddisorders;diagnosis;F19.9;domaine_clinique;diagnosis
glucose_median;diagnosis;;domaine_clinique;diagnosis
hematocrit_median;diagnosis;;domaine_clinique;diagnosis
retinaldx;diagnosis;;domaine_clinique;diagnosis
co2_min;diagnosis;;domaine_clinique;diagnosis
lactate_poc_last;diagnosis;;domaine_clinique;diagnosis
mcv_last;diagnosis;;domaine_clinique;diagnosis
triage_vital_o2_device;diagnosis;;domaine_clinique;diagnosis
immaturegranulocytes_median;diagnosis;;domaine_clinique;diagnosis
co2calculated_venous_poc_min;diagnosis;;domaine_clinique;diagnosis
peripathero;diagnosis;;domaine_clinique;diagnosis
rbc_min;diagnosis;;domaine_clinique;diagnosis
bloodua_count;diagnosis;;domaine_clinique;diagnosis
acetonebld_median;diagnosis;;domaine_clinique;diagnosis
meds_vitamins;diagnosis;;domaine_clinique;diagnosis
umbilcord;diagnosis;;domaine_clinique;diagnosis
hco3calculated_venous_poc_min;diagnosis;;domaine_clinique;diagnosis
cc_lethargy;diagnosis;;domaine_clinique;diagnosis
hemoglobin_last;diagnosis;;domaine_clinique;diagnosis
benzodiazepinesscreen_urine_noconf_min;diagnosis;;domaine_clinique;diagnosis
hyperlipidem;diagnosis;E78.5;domaine_clinique;diagnosis
poccreatinine_last;diagnosis;;domaine_clinique;diagnosis
septicemiaexceptinlabor;diagnosis;A41.9;domaine_clinique;diagnosis
malgenitca;diagnosis;;domaine_clinique;diagnosis
cc_urinaryfrequency;diagnosis;;domaine_clinique;diagnosis
spontabortn;diagnosis;O03.9;domaine_clinique;diagnosis
triage_vital_hr;diagnosis;;domaine_clinique;diagnosis
precereoccl;diagnosis;I66.9;domaine_clinique;diagnosis
meds_autonomicdrugs;diagnosis;;domaine_clinique;diagnosis
meds_antiplateletdrugs;diagnosis;;domaine_clinique;diagnosis
cc_eyepain;diagnosis;;domaine_clinique;diagnosis
absolutelymphocytecount_max;diagnosis;;domaine_clinique;diagnosis
cc_eyeproblem;diagnosis;;domaine_clinique;diagnosis
otpregcomp;diagnosis;;domaine_clinique;diagnosis
epithelialcells_min;diagnosis;;domaine_clinique;diagnosis
menopausldx;diagnosis;;domaine_clinique;diagnosis
cc_emesis;diagnosis;;domaine_clinique;diagnosis
monosabs_median;diagnosis;;domaine_clinique;diagnosis
lactate_poc_median;diagnosis;;domaine_clinique;diagnosis
immunitydx;diagnosis;;domaine_clinique;diagnosis
egfr_aframer_min;diagnosis;;domaine_clinique;diagnosis
magnesium_median;diagnosis;;domaine_clinique;diagnosis
globulin_median;diagnosis;;domaine_clinique;diagnosis
cc_fingerswelling;diagnosis;;domaine_clinique;diagnosis
arrivalday;diagnosis;;domaine_clinique;diagnosis
otconganom;diagnosis;;domaine_clinique;diagnosis
sodium_last;diagnosis;;domaine_clinique;diagnosis
otherscreen;diagnosis;;domaine_clinique;diagnosis
cc_fever_75yearsorolder;diagnosis;;domaine_clinique;diagnosis
cc_vaginalpain;diagnosis;;domaine_clinique;diagnosis
poisnotmed;diagnosis;;domaine_clinique;diagnosis
cc_chestpain;diagnosis;R07.4;domaine_clinique;diagnosis
hrtvalvedx;diagnosis;I34.9;domaine_clinique;diagnosis
cc_psychoticsymptoms;diagnosis;F29.9;domaine_clinique;diagnosis
hour_bin_end;diagnosis;;domaine_clinique;diagnosis
basos_max;diagnosis;;domaine_clinique;diagnosis
othcnsinfx;diagnosis;;domaine_clinique;diagnosis
ovarycancer;diagnosis;C56.9;domaine_clinique;diagnosis
month_num;diagnosis;;domaine_clinique;diagnosis
bun_min;diagnosis;;domaine_clinique;diagnosis
eos_last;diagnosis;;domaine_clinique;diagnosis
calculatedco2_poc_last;diagnosis;;domaine_clinique;diagnosis
prothrombintime_median;diagnosis;;domaine_clinique;diagnosis
cc_abdominaldistention;diagnosis;;domaine_clinique;diagnosis
tsh_last;diagnosis;;domaine_clinique;diagnosis
cc_edema;diagnosis;;domaine_clinique;diagnosis
rdw_min;diagnosis;;domaine_clinique;diagnosis
bilirubintotal_max;diagnosis;;domaine_clinique;diagnosis
po2_venous_poc_min;diagnosis;;domaine_clinique;diagnosis
cc_headache_newonsetornewsymptoms;diagnosis;;domaine_clinique;diagnosis
nonepithca;diagnosis;;domaine_clinique;diagnosis
troponint_min;diagnosis;;domaine_clinique;diagnosis
creatinine_min;diagnosis;;domaine_clinique;diagnosis
teethdx;diagnosis;;domaine_clinique;diagnosis
poisnnonmed;diagnosis;;domaine_clinique;diagnosis
meds_diagnostic;diagnosis;;domaine_clinique;diagnosis
wbc_hpf_min;diagnosis;;domaine_clinique;diagnosis
troponini_poc_max;diagnosis;;domaine_clinique;diagnosis
cc_decreasedbloodsugar_symptomatic;diagnosis;;domaine_clinique;diagnosis
hemoglobin_median;diagnosis;;domaine_clinique;diagnosis
nrbcabsolute_last;diagnosis;;domaine_clinique;diagnosis
temp_min;diagnosis;;domaine_clinique;diagnosis
cc_hemoptysis;diagnosis;R04.2;domaine_clinique;diagnosis
pocionizedcalcium_min;diagnosis;;domaine_clinique;diagnosis
pneumonia;diagnosis;J18.9;domaine_clinique;diagnosis
religion;diagnosis;;domaine_clinique;diagnosis
pulse_last;diagnosis;;domaine_clinique;diagnosis
resp_last;diagnosis;;domaine_clinique;diagnosis
intracrninj;diagnosis;;domaine_clinique;diagnosis
mri_count;diagnosis;;domaine_clinique;diagnosis
albumin_median;diagnosis;;domaine_clinique;diagnosis
cc_palpitations;diagnosis;R00.2;domaine_clinique;diagnosis
ulcerskin;diagnosis;L98.4;domaine_clinique;diagnosis
guconganom;diagnosis;;domaine_clinique;diagnosis
chloride_max;diagnosis;;domaine_clinique;diagnosis
mpv_last;diagnosis;;domaine_clinique;diagnosis
intestinfct;diagnosis;A09;domaine_clinique;diagnosis
otbnignneo;diagnosis;D36.7;domaine_clinique;diagnosis
bilirubindirect_min;diagnosis;;domaine_clinique;diagnosis
spo2_median;diagnosis;;domaine_clinique;diagnosis
cc_fatigue;diagnosis;R53;domaine_clinique;diagnosis
rdw_max;diagnosis;;domaine_clinique;diagnosis
infectarth;diagnosis;M00.9;domaine_clinique;diagnosis
sexualinfxs;diagnosis;A63.9;domaine_clinique;diagnosis
cc_urinarytractinfection;diagnosis;N39.0;domaine_clinique;diagnosis
hour_bin_start;diagnosis;;domaine_clinique;diagnosis
maligneopls;diagnosis;C80.1;domaine_clinique;diagnosis
urinstone;diagnosis;N20.0;domaine_clinique;diagnosis
cc_poisoning;diagnosis;T50.9;domaine_clinique;diagnosis
infmalegen;diagnosis;N51.9;domaine_clinique;diagnosis
pochematocrit_min;diagnosis;;domaine_clinique;diagnosis
skininfectn;diagnosis;L08.9;domaine_clinique;diagnosis
cc_hypertension;diagnosis;I10;domaine_clinique;diagnosis
dep_name;diagnosis;;domaine_clinique;diagnosis
co2_poc_median;diagnosis;;domaine_clinique;diagnosis
sbp_max;diagnosis;;domaine_clinique;diagnosis
ph_venous_poc_last;diagnosis;;domaine_clinique;diagnosis
meds_thyroidpreps;diagnosis;;domaine_clinique;diagnosis
cc_extremitylaceration;diagnosis;S81.8;domaine_clinique;diagnosis
meds_gastrointestinal;diagnosis;;domaine_clinique;diagnosis
cc_footswelling;diagnosis;;domaine_clinique;diagnosis
cc_oralswelling;diagnosis;;domaine_clinique;diagnosis
lipase_max;diagnosis;;domaine_clinique;diagnosis
eos_max;diagnosis;;domaine_clinique;diagnosis
mchc_min;diagnosis;;domaine_clinique;diagnosis
cc_giproblem;diagnosis;K92.9;domaine_clinique;diagnosis
cc_generalizedbodyaches;diagnosis;;domaine_clinique;diagnosis
pocph_max;diagnosis;;domaine_clinique;diagnosis
echo_count;diagnosis;;domaine_clinique;diagnosis
absolutelymphocytecount_median;diagnosis;;domaine_clinique;diagnosis
cc_seizure_priorhxof;diagnosis;G40.9;domaine_clinique;diagnosis
mch_min;diagnosis;;domaine_clinique;diagnosis
cc_woundcheck;diagnosis;;domaine_clinique;diagnosis
pocsodium_min;diagnosis;;domaine_clinique;diagnosis
previousdispo;diagnosis;;domaine_clinique;diagnosis
cc_drug_alcoholassessment;diagnosis;Z71.4;domaine_clinique;diagnosis
cc_rash;diagnosis;R21;domaine_clinique;diagnosis
sle;diagnosis;M32.9;domaine_clinique;diagnosis
jointinjury;diagnosis;S89.9;domaine_clinique;diagnosis
lactate_poc_max;diagnosis;;domaine_clinique;diagnosis
bilirubindirect_median;diagnosis;;domaine_clinique;diagnosis
cc_burn;diagnosis;T31.9;domaine_clinique;diagnosis
cc_laceration;diagnosis;S01.9;domaine_clinique;diagnosis
calculatedo2saturation_poc_median;diagnosis;;domaine_clinique;diagnosis
mooddisorders;diagnosis;F39;domaine_clinique;diagnosis
monosabs_max;diagnosis;;domaine_clinique;diagnosis
egfr_nonafricanamerican_min;diagnosis;;domaine_clinique;diagnosis
phlebitis;diagnosis;I80.3;domaine_clinique;diagnosis
pocionizedcalcium_max;diagnosis;;domaine_clinique;diagnosis
uteruscancr;diagnosis;C55;domaine_clinique;diagnosis
glucose_meter_min;diagnosis;;domaine_clinique;diagnosis
lipase_median;diagnosis;;domaine_clinique;diagnosis
septicemia;diagnosis;A41.9;domaine_clinique;diagnosis
pco2_venous_poc_max;diagnosis;;domaine_clinique;diagnosis
nonhodglym;diagnosis;C85.9;domaine_clinique;diagnosis
albumin_last;diagnosis;;domaine_clinique;diagnosis
neutrophils_max;diagnosis;;domaine_clinique;diagnosis
dbp_last;diagnosis;;domaine_clinique;diagnosis
visit_id;diagnosis;;domaine_clinique;diagnosis
cxr_count;diagnosis;;domaine_clinique;diagnosis
meds_cnsdrugs;diagnosis;;domaine_clinique;diagnosis
longpregncy;diagnosis;O48;domaine_clinique;diagnosis
wbc_last;diagnosis;;domaine_clinique;diagnosis
cc_elevatedbloodsugar_symptomatic;diagnosis;R73.9;domaine_clinique;diagnosis
wbc_min;diagnosis;;domaine_clinique;diagnosis
pocpotassium_last;diagnosis;;domaine_clinique;diagnosis
whtblooddx;diagnosis;;domaine_clinique;diagnosis
ph_venous_poc_min;diagnosis;;domaine_clinique;diagnosis
cc_feverimmunocompromised;diagnosis;R50.9;domaine_clinique;diagnosis
lowbirthwt;diagnosis;P07.0;domaine_clinique;diagnosis
rheumarth;diagnosis;M06.9;domaine_clinique;diagnosis
htncomplicn;diagnosis;I15.9;domaine_clinique;diagnosis
po2_poc_last;diagnosis;;domaine_clinique;diagnosis
neoplsmunsp;diagnosis;C80.9;domaine_clinique;diagnosis
meds_cardiovascular;diagnosis;;domaine_clinique;diagnosis
cc_nearsyncope;diagnosis;R55;domaine_clinique;diagnosis
cc_suture_stapleremoval;diagnosis;Z48.02;domaine_clinique;diagnosis
meds_analgesicandantihistaminecombination;diagnosis;;domaine_clinique;diagnosis
varicosevn;diagnosis;I83.9;domaine_clinique;diagnosis
monosabs_last;diagnosis;;domaine_clinique;diagnosis
aspartateaminotransferase_ast_last;diagnosis;;domaine_clinique;diagnosis
cktotal_median;diagnosis;;domaine_clinique;diagnosis
globulin_max;diagnosis;;domaine_clinique;diagnosis
chloride_last;diagnosis;;domaine_clinique;diagnosis
basos_min;diagnosis;;domaine_clinique;diagnosis
albumin_min;diagnosis;;domaine_clinique;diagnosis
pocpotassium_min;diagnosis;;domaine_clinique;diagnosis
otcirculdx;diagnosis;;domaine_clinique;diagnosis
pocwbc_min;diagnosis;;domaine_clinique;diagnosis
meds_immunosuppressants;diagnosis;;domaine_clinique;diagnosis
wbc_max;diagnosis;;domaine_clinique;diagnosis
pocglucose_median;diagnosis;;domaine_clinique;diagnosis
cc_pneumoniainfluenza;diagnosis;J18.9;domaine_clinique;diagnosis
bun_max;diagnosis;;domaine_clinique;diagnosis
hco3calculated_venous_poc_max;diagnosis;;domaine_clinique;diagnosis
phosphorus_last;diagnosis;;domaine_clinique;diagnosis
pulse_min;diagnosis;;domaine_clinique;diagnosis
cc_astma;diagnosis;J45.9;domaine_clinique;diagnosis
cc_chronicpain;diagnosis;G89.4;domaine_clinique;diagnosis
allergicdis;diagnosis;J30.9;domaine_clinique;diagnosis
pochematocrit_last;diagnosis;;domaine_clinique;diagnosis
aniongap_median;diagnosis;;domaine_clinique;diagnosis
immunecomp;diagnosis;;domaine_clinique;diagnosis
craniocerebrlinj;diagnosis;S06.9;domaine_clinique;diagnosis
rdw_median;diagnosis;;domaine_clinique;diagnosis
po2_poc_min;diagnosis;;domaine_clinique;diagnosis
bun_creatratio_last;diagnosis;;domaine_clinique;diagnosis
ethnicity;diagnosis;;domaine_clinique;diagnosis
immaturegrans_abs_max;diagnosis;;domaine_clinique;diagnosis
potassium_min;diagnosis;;domaine_clinique;diagnosis
bun_creatratio_max;diagnosis;;domaine_clinique;diagnosis
osmolality_median;diagnosis;;domaine_clinique;diagnosis
troponini_poc_min;diagnosis;;domaine_clinique;diagnosis
otacqdefor;diagnosis;;domaine_clinique;diagnosis
globulin_last;diagnosis;;domaine_clinique;diagnosis
meds_vitamins;diagnosis;;domaine_clinique;diagnosis
cc_dyspnea;diagnosis;R06.0;domaine_clinique;diagnosis
po2_venous_poc_last;diagnosis;;domaine_clinique;diagnosis
alkphos_median;diagnosis;;domaine_clinique;diagnosis
bloodua_count;diagnosis;;domaine_clinique;diagnosis
b_typenatriureticpeptide_pro_probnp_median;diagnosis;;domaine_clinique;diagnosis
chloride_median;diagnosis;;domaine_clinique;diagnosis
troponint_max;diagnosis;;domaine_clinique;diagnosis
anc_absneutrophilcount_max;diagnosis;;domaine_clinique;diagnosis
absolutelymphocytecount_min;diagnosis;;domaine_clinique;diagnosis
hour_value;diagnosis;;domaine_clinique;diagnosis
po2_poc_median;diagnosis;;domaine_clinique;diagnosis
platelets_last;diagnosis;;domaine_clinique;diagnosis
bilirubindirect_last;diagnosis;;domaine_clinique;diagnosis
hco3calculated_venous_poc_last;diagnosis;;domaine_clinique;diagnosis
allergicarth;diagnosis;M13.8;domaine_clinique;diagnosis
chloride_min;diagnosis;;domaine_clinique;diagnosis
creatinine_last;diagnosis;;domaine_clinique;diagnosis
wbc_median;diagnosis;;domaine_clinique;diagnosis
o2satcalculated_venous_poc_last;diagnosis;;domaine_clinique;diagnosis
hour_bin_end;diagnosis;;domaine_clinique;diagnosis
magnesium_min;diagnosis;;domaine_clinique;diagnosis
nrbcabsolute_max;diagnosis;;domaine_clinique;diagnosis
albumin_max;diagnosis;;domaine_clinique;diagnosis
po2_poc_max;diagnosis;;domaine_clinique;diagnosis
basosabs_min;diagnosis;;domaine_clinique;diagnosis
sodium_median;diagnosis;;domaine_clinique;diagnosis
othergudx;diagnosis;;domaine_clinique;diagnosis
cc_hypotension;diagnosis;I95.9;domaine_clinique;diagnosis
cc_wristinjury;diagnosis;S66.90;domaine_clinique;diagnosis
phencyclidine_pcp_screen_urine_noconf_min;diagnosis;;domaine_clinique;diagnosis
mcv_last;diagnosis;;domaine_clinique;diagnosis
co2_last;diagnosis;;domaine_clinique;diagnosis
basosabs_max;diagnosis;;domaine_clinique;diagnosis
prostatecan;diagnosis;C61;domaine_clinique;diagnosis
co2calculated_venous_poc_max;diagnosis;;domaine_clinique;diagnosis
anc_absneutrophilcount_min;diagnosis;;domaine_clinique;diagnosis
rbc_last;diagnosis;;domaine_clinique;diagnosis
chloride_min;diagnosis;;domaine_clinique;diagnosis
eosinoabs_last;diagnosis;;domaine_clinique;diagnosis
proteinua_count;diagnosis;;domaine_clinique;diagnosis
meds_contraceptives;diagnosis;;domaine_clinique;diagnosis
othergudx;diagnosis;;domaine_clinique;diagnosis
bloodculture_routine_last;diagnosis;;domaine_clinique;diagnosis
ekg_count;diagnosis;;domaine_clinique;diagnosis
othereyedx;diagnosis;;domaine_clinique;diagnosis
otdxbladdr;diagnosis;;domaine_clinique;diagnosis
immaturegrans_abs_last;diagnosis;;domaine_clinique;diagnosis
chloride_median;diagnosis;;domaine_clinique;diagnosis
cc_hypotension;diagnosis;I95.9;domaine_clinique;diagnosis
cc_wristinjury;diagnosis;S66.90;domaine_clinique;diagnosis
phencyclidine_pcp_screen_urine_noconf_min;diagnosis;;domaine_clinique;diagnosis
otherscreen;diagnosis;;domaine_clinique;diagnosis
cc_fatigue;diagnosis;R53;domaine_clinique;diagnosis
rdw_max;diagnosis;;domaine_clinique;diagnosis
cc_conjunctivitis;diagnosis;H10.9;domaine_clinique;diagnosis
cc_earproblem;diagnosis;H93.9;domaine_clinique;diagnosis
urineculture_routine_npos;diagnosis;;domaine_clinique;diagnosis
disposition;diagnosis;;domaine_clinique;diagnosis
urineculture_routine_last;diagnosis;;domaine_clinique;diagnosis
cc_chills;diagnosis;R68.83;domaine_clinique;diagnosis
urinyorgca;diagnosis;C67.9;domaine_clinique;diagnosis
egfr_aframer_last;diagnosis;;domaine_clinique;diagnosis
prothrombintime_max;diagnosis;;domaine_clinique;diagnosis
cc_bleeding_bruising;diagnosis;R58;domaine_clinique;diagnosis
co2_poc_max;diagnosis;;domaine_clinique;diagnosis
meds_antihyperglycemics;diagnosis;;domaine_clinique;diagnosis
